"country_of_residence","cor_iso3","country_of_origin","coo_iso3","election_date","election_type","registered_voters","total_votes","valid_votes","valid_votes2","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","national_winner","votes_national_winner"
"Nigeria","NGA","Italy","ITA",2013-02-24,"Legislative",NA,NA,297,297,NA,NA,NA,115,"IL POPOLO DELLA LIBERTA'",69,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",60,"PARTITO DEMOCRATICO",53,"CON MONTI PER L'ITALIA",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",69
"Norway","NOR","Italy","ITA",2013-02-24,"Legislative",NA,NA,983,983,NA,NA,NA,290,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",288,"PARTITO DEMOCRATICO",211,"CON MONTI PER L'ITALIA",69,"IL POPOLO DELLA LIBERTA'",58,"SINISTRA ECOLOGIA LIBERTA'",36,"RIVOLUZIONE CIVILE",17,"FARE PER FERMARE IL DECLINO",8,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",6,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",290
"New Zealand","NZL","Italy","ITA",2013-02-24,"Legislative",NA,NA,616,616,NA,NA,NA,211,"PARTITO DEMOCRATICO",185,"CON MONTI PER L'ITALIA",175,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",45,"IL POPOLO DELLA LIBERTA'",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",175
"Oman","OMN","Italy","ITA",2013-02-24,"Legislative",NA,NA,53,53,NA,NA,NA,18,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",14,"CON MONTI PER L'ITALIA",12,"PARTITO DEMOCRATICO",9,"IL POPOLO DELLA LIBERTA'",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",18
"Netherlands","NLD","Italy","ITA",2013-02-24,"Legislative",NA,NA,8846,8846,NA,NA,NA,2501,"PARTITO DEMOCRATICO",2366,"CON MONTI PER L'ITALIA",1782,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",914,"IL POPOLO DELLA LIBERTA'",430,"SINISTRA ECOLOGIA LIBERTA'",371,"RIVOLUZIONE CIVILE",219,"FARE PER FERMARE IL DECLINO",163,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",100,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",1782
"Pakistan","PAK","Italy","ITA",2013-02-24,"Legislative",NA,NA,29,29,NA,NA,NA,16,"PARTITO DEMOCRATICO",7,"CON MONTI PER L'ITALIA",6,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",0,"IL POPOLO DELLA LIBERTA'",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",6
"Panama","PAN","Italy","ITA",2013-02-24,"Legislative",NA,NA,488,488,NA,NA,NA,153,"CON MONTI PER L'ITALIA",117,"PARTITO DEMOCRATICO",116,"IL POPOLO DELLA LIBERTA'",80,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",16,"FARE PER FERMARE IL DECLINO",6,"INSIEME PER GLI ITALIANI",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",80
"Paraguay","PRY","Italy","ITA",2013-02-24,"Legislative",NA,NA,1547,1547,NA,NA,NA,707,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",255,"PARTITO DEMOCRATICO",174,"USEI",168,"IL POPOLO DELLA LIBERTA'",105,"UNIONE ITALIANI SUDAMERICA",74,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",64,"ITALIANI PER LA LIBERTA'",0,"CON MONTI PER L'ITALIA",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",74
"Peru","PER","Italy","ITA",2013-02-24,"Legislative",NA,NA,4196,4196,NA,NA,NA,1811,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",1194,"PARTITO DEMOCRATICO",402,"IL POPOLO DELLA LIBERTA'",268,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",239,"USEI",212,"UNIONE ITALIANI SUDAMERICA",70,"ITALIANI PER LA LIBERTA'",0,"CON MONTI PER L'ITALIA",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",268
"Poland","POL","Italy","ITA",2013-02-24,"Legislative",NA,NA,1007,1007,NA,NA,NA,259,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",236,"IL POPOLO DELLA LIBERTA'",224,"PARTITO DEMOCRATICO",177,"CON MONTI PER L'ITALIA",28,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",28,"FARE PER FERMARE IL DECLINO",24,"SINISTRA ECOLOGIA LIBERTA'",22,"RIVOLUZIONE CIVILE",9,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",259
"Portugal","PRT","Italy","ITA",2013-02-24,"Legislative",NA,NA,1259,1259,NA,NA,NA,305,"PARTITO DEMOCRATICO",298,"CON MONTI PER L'ITALIA",257,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",201,"IL POPOLO DELLA LIBERTA'",89,"SINISTRA ECOLOGIA LIBERTA'",49,"RIVOLUZIONE CIVILE",25,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",24,"FARE PER FERMARE IL DECLINO",11,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",257
"UK","GBR","Italy","ITA",2013-02-24,"Legislative",NA,NA,48928,48928,NA,NA,NA,12522,"PARTITO DEMOCRATICO",12254,"CON MONTI PER L'ITALIA",8555,"IL POPOLO DELLA LIBERTA'",8303,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",1946,"RIVOLUZIONE CIVILE",1865,"SINISTRA ECOLOGIA LIBERTA'",1513,"FARE PER FERMARE IL DECLINO",1412,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",558,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",8303
"Czechia","CZE","Italy","ITA",2013-02-24,"Legislative",NA,NA,1085,1085,NA,NA,NA,303,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",246,"PARTITO DEMOCRATICO",241,"IL POPOLO DELLA LIBERTA'",160,"CON MONTI PER L'ITALIA",40,"RIVOLUZIONE CIVILE",38,"FARE PER FERMARE IL DECLINO",35,"SINISTRA ECOLOGIA LIBERTA'",12,"PARTITO COMUNISTA",10,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",303
"Congo - Kinshasa","COD","Italy","ITA",2013-02-24,"Legislative",NA,NA,147,147,NA,NA,NA,68,"CON MONTI PER L'ITALIA",41,"PARTITO DEMOCRATICO",31,"IL POPOLO DELLA LIBERTA'",7,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",7
"South Korea","KOR","Italy","ITA",2013-02-24,"Legislative",NA,NA,124,124,NA,NA,NA,48,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",34,"CON MONTI PER L'ITALIA",30,"PARTITO DEMOCRATICO",12,"IL POPOLO DELLA LIBERTA'",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",48
"North Macedonia","MKD","Italy","ITA",2013-02-24,"Legislative",NA,NA,79,79,NA,NA,NA,22,"PARTITO DEMOCRATICO",21,"IL POPOLO DELLA LIBERTA'",19,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",7,"CON MONTI PER L'ITALIA",3,"FARE PER FERMARE IL DECLINO",3,"SINISTRA ECOLOGIA LIBERTA'",3,"RIVOLUZIONE CIVILE",1,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",19
"Serbia","SRB","Italy","ITA",2013-02-24,"Legislative",NA,NA,388,388,NA,NA,NA,91,"PARTITO DEMOCRATICO",77,"CON MONTI PER L'ITALIA",70,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",66,"IL POPOLO DELLA LIBERTA'",31,"PARTITO COMUNISTA",18,"SINISTRA ECOLOGIA LIBERTA'",14,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",14,"FARE PER FERMARE IL DECLINO",7,"RIVOLUZIONE CIVILE",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",70
"Dominican Republic","DOM","Italy","ITA",2013-02-24,"Legislative",NA,NA,1371,1371,NA,NA,NA,378,"IL POPOLO DELLA LIBERTA'",353,"CON MONTI PER L'ITALIA",318,"PARTITO DEMOCRATICO",291,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",27,"INSIEME PER GLI ITALIANI",4,"FARE PER FERMARE IL DECLINO",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",291
"China","CHN","Italy","ITA",2013-02-24,"Legislative",NA,NA,2219,2219,NA,NA,NA,734,"CON MONTI PER L'ITALIA",644,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",612,"PARTITO DEMOCRATICO",229,"IL POPOLO DELLA LIBERTA'",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",644
"Romania","ROU","Italy","ITA",2013-02-24,"Legislative",NA,NA,1076,1076,NA,NA,NA,325,"IL POPOLO DELLA LIBERTA'",233,"PARTITO DEMOCRATICO",210,"CON MONTI PER L'ITALIA",203,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",37,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",34,"FARE PER FERMARE IL DECLINO",13,"SINISTRA ECOLOGIA LIBERTA'",11,"PARTITO COMUNISTA",10,"RIVOLUZIONE CIVILE",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",203
"Rwanda","RWA","Italy","ITA",2013-02-24,"Legislative",NA,NA,47,47,NA,NA,NA,20,"CON MONTI PER L'ITALIA",13,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",11,"PARTITO DEMOCRATICO",3,"IL POPOLO DELLA LIBERTA'",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",13
"San Marino","SMR","Italy","ITA",2013-02-24,"Legislative",NA,NA,6118,6118,NA,NA,NA,2226,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",1635,"PARTITO DEMOCRATICO",1009,"IL POPOLO DELLA LIBERTA'",718,"CON MONTI PER L'ITALIA",230,"FARE PER FERMARE IL DECLINO",134,"SINISTRA ECOLOGIA LIBERTA'",121,"RIVOLUZIONE CIVILE",23,"PARTITO COMUNISTA",22,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",2226
"Senegal","SEN","Italy","ITA",2013-02-24,"Legislative",NA,NA,150,150,NA,NA,NA,60,"PARTITO DEMOCRATICO",39,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",30,"CON MONTI PER L'ITALIA",21,"IL POPOLO DELLA LIBERTA'",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",39
"Seychelles","SYC","Italy","ITA",2013-02-24,"Legislative",NA,NA,44,44,NA,NA,NA,17,"PARTITO DEMOCRATICO",10,"IL POPOLO DELLA LIBERTA'",9,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",8,"CON MONTI PER L'ITALIA",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",9
"Singapore","SGP","Italy","ITA",2013-02-24,"Legislative",NA,NA,616,616,NA,NA,NA,228,"CON MONTI PER L'ITALIA",193,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",127,"PARTITO DEMOCRATICO",68,"IL POPOLO DELLA LIBERTA'",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",193
"Slovakia","SVK","Italy","ITA",2013-02-24,"Legislative",NA,NA,314,314,NA,NA,NA,104,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",62,"PARTITO DEMOCRATICO",58,"IL POPOLO DELLA LIBERTA'",52,"CON MONTI PER L'ITALIA",13,"FARE PER FERMARE IL DECLINO",12,"SINISTRA ECOLOGIA LIBERTA'",5,"RIVOLUZIONE CIVILE",4,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",4,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",104
"Slovenia","SVN","Italy","ITA",2013-02-24,"Legislative",NA,NA,1241,1241,NA,NA,NA,407,"PARTITO DEMOCRATICO",285,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",250,"CON MONTI PER L'ITALIA",160,"IL POPOLO DELLA LIBERTA'",41,"SINISTRA ECOLOGIA LIBERTA'",32,"RIVOLUZIONE CIVILE",27,"FARE PER FERMARE IL DECLINO",22,"PARTITO COMUNISTA",17,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",285
"Spain","ESP","Italy","ITA",2013-02-24,"Legislative",NA,NA,21628,21628,NA,NA,NA,5480,"CON MONTI PER L'ITALIA",4934,"PARTITO DEMOCRATICO",4713,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",2749,"IL POPOLO DELLA LIBERTA'",1643,"SINISTRA ECOLOGIA LIBERTA'",709,"RIVOLUZIONE CIVILE",542,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",462,"PARTITO COMUNISTA",396,"FARE PER FERMARE IL DECLINO",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",4713
"Sri Lanka","LKA","Italy","ITA",2013-02-24,"Legislative",NA,NA,20,20,NA,NA,NA,16,"PARTITO DEMOCRATICO",2,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",1,"IL POPOLO DELLA LIBERTA'",1,"CON MONTI PER L'ITALIA",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",2
"US","USA","Italy","ITA",2013-02-24,"Legislative",NA,NA,43041,43041,NA,NA,NA,12608,"PARTITO DEMOCRATICO",11422,"CON MONTI PER L'ITALIA",9220,"IL POPOLO DELLA LIBERTA'",5391,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",3078,"INSIEME PER GLI ITALIANI",1322,"FARE PER FERMARE IL DECLINO",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",5391
"South Africa","ZAF","Italy","ITA",2013-02-24,"Legislative",NA,NA,3838,3838,NA,NA,NA,1610,"IL POPOLO DELLA LIBERTA'",1129,"CON MONTI PER L'ITALIA",816,"PARTITO DEMOCRATICO",283,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",283
