"country","country_of_origin","election_date","election_type","registered_voters","total_votes","valid_votes","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","votes_party_30","party_party_30","votes_party_31","party_party_31","votes_party_32","party_party_32","votes_party_33","party_party_33","votes_party_34","party_party_34","votes_party_35","party_party_35","votes_party_36","party_party_36","votes_party_37","party_party_37","votes_party_38","party_party_38","votes_party_39","party_party_39","votes_party_40","party_party_40","votes_party_41","party_party_41","votes_party_42","party_party_42","votes_party_43","party_party_43","votes_party_44","party_party_44","votes_party_45","party_party_45","national_winner","votes_national_winner"
"Libya","Ukraine",2006-03-26,"Legislative",477,117,115,2,NA,NA,35,"Yulia Tymoshenko Bloc",32,"Party of Regions",24,"Block OUR UKRAINE",7,"Socialist Party of Ukraine",4,"Ukrainian People's Bloc of Kostenko and Ivy",3,"Civil bloc PORA-PRP",3,"Lytvyn People's Bloc",2,"Bloc of Boris Oliynyk and Mykhailo Syrota",1,"Viche Party",1,"Party of Patriotic Forces of Ukraine",1,"All-Ukrainian Association Freedom",1,"Bloc of Natalia Vitrenko People's Opposition",1,"The opposition bloc is NOT YES!",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Communist Party of Ukraine",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Green Party of Ukraine",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"Labor Ukraine Political Party","Party of Regions",32
"Greece","Ukraine",2006-03-26,"Legislative",5430,1159,1142,11,NA,NA,573,"Block OUR UKRAINE",209,"Party of Regions",199,"Yulia Tymoshenko Bloc",26,"Civil bloc PORA-PRP",25,"Socialist Party of Ukraine",12,"Ukrainian People's Bloc of Kostenko and Ivy",12,"Viche Party",11,"The opposition bloc is NOT YES!",10,"Bloc of Natalia Vitrenko People's Opposition",8,"Communist Party of Ukraine",7,"All-Ukrainian Association Freedom",7,"Lytvyn People's Bloc",6,"Political Party of Ukraine Putin's Politics Party",6,"Yuri Karmazin's block",5,"Ukrainian Green Planet Party",3,"All-Ukrainian Party of People's Trust",3,"All-Ukrainian Party New Power",3,"Third Force Political Party",2,"Political party Party of ecological rescue ECO + 25%",2,"NDP block",2,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",2,"Electoral bloc Yevhen Marchuk - Unity",2,"Green Party of Ukraine",1,"Party of Patriotic Forces of Ukraine",1,"Electoral bloc State - Labor Union ",1,"Bloc Patriots of Ukraine",1,"Bloc of Boris Oliynyk and Mykhailo Syrota",1,"Socio-ecological party Union. Chernobyl. Ukraine.",1,"Party of Pensioners of Ukraine",1,"Labor Ukraine Political Party",0,"Ukrainian National Assembly",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Party of National and Economic Development of Ukraine",0,"Bloc of Non-Party Sun ",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Political party Forward, Ukraine!","Party of Regions",209
"Ireland","Ukraine",2006-03-26,"Legislative",836,284,283,1,NA,NA,159,"Block OUR UKRAINE",55,"Yulia Tymoshenko Bloc",24,"Civil bloc PORA-PRP",18,"Party of Regions",6,"All-Ukrainian Association Freedom",5,"Socialist Party of Ukraine",4,"Green Party of Ukraine",3,"Ukrainian People's Bloc of Kostenko and Ivy",3,"Bloc of Natalia Vitrenko People's Opposition",3,"Lytvyn People's Bloc",1,"Communist Party of Ukraine",1,"Viche Party",1,"European Capital Political Party",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"Social Protection Party",0,"Third Force Political Party",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"The opposition bloc is NOT YES!",0,"Labor Ukraine Political Party","Party of Regions",18
"Iran","Ukraine",2006-03-26,"Legislative",77,49,48,1,NA,NA,22,"Party of Regions",5,"Block OUR UKRAINE",5,"Yulia Tymoshenko Bloc",5,"Lytvyn People's Bloc",3,"Bloc of Natalia Vitrenko People's Opposition",2,"Viche Party",2,"The opposition bloc is NOT YES!",1,"Political party Party of ecological rescue ECO + 25%",1,"Party of Patriotic Forces of Ukraine",1,"Socialist Party of Ukraine",1,"Lazarenko Bloc",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian People's Bloc of Kostenko and Ivy",0,"Ukrainian National Assembly",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Communist Party of Ukraine",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Civil bloc PORA-PRP",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Green Party of Ukraine",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"Labor Ukraine Political Party","Party of Regions",22
"Pakistan","Ukraine",2006-03-26,"Legislative",112,68,65,3,NA,NA,39,"Party of Regions",9,"Block OUR UKRAINE",6,"Yulia Tymoshenko Bloc",2,"Lazarenko Bloc",2,"Lytvyn People's Bloc",1,"Communist Party of Ukraine",1,"Viche Party",1,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",1,"Civil bloc PORA-PRP",1,"Socialist Party of Ukraine",1,"Bloc of Natalia Vitrenko People's Opposition",1,"The opposition bloc is NOT YES!",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian People's Bloc of Kostenko and Ivy",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Green Party of Ukraine",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"Labor Ukraine Political Party","Party of Regions",39
"Italy","Ukraine",2006-03-26,"Legislative",4760,1489,1466,11,NA,NA,922,"Block OUR UKRAINE",294,"Yulia Tymoshenko Bloc",94,"Ukrainian People's Bloc of Kostenko and Ivy",47,"Civil bloc PORA-PRP",30,"Party of Regions",26,"All-Ukrainian Association Freedom",10,"Socialist Party of Ukraine",9,"Lytvyn People's Bloc",5,"Bloc of Boris Oliynyk and Mykhailo Syrota",4,"Viche Party",4,"Yuri Karmazin's block",4,"Green Party of Ukraine",3,"Bloc of Natalia Vitrenko People's Opposition",3,"The opposition bloc is NOT YES!",2,"Ukrainian Green Planet Party",2,"People's Movement of Ukraine for Unity",1,"Ukrainian National Assembly",1,"Political party Party of ecological rescue ECO + 25%",1,"Communist Party of Ukraine",1,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",1,"European Capital Political Party",1,"Social Protection Party",1,"Party of Pensioners of Ukraine",0,"All-Ukrainian Party of People's Trust",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Ukrainian Conservative Party",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"Third Force Political Party",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Labor Ukraine Political Party","Party of Regions",30
"Japan","Ukraine",2006-03-26,"Legislative",236,81,79,2,NA,NA,33,"Block OUR UKRAINE",19,"Yulia Tymoshenko Bloc",8,"Party of Regions",6,"Civil bloc PORA-PRP",4,"Socialist Party of Ukraine",3,"Lytvyn People's Bloc",2,"Ukrainian People's Bloc of Kostenko and Ivy",1,"Political party Party of ecological rescue ECO + 25%",1,"Renaissance Party",1,"Peasant Party of Ukraine",1,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian National Assembly",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Communist Party of Ukraine",0,"Viche Party",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Electoral bloc of political parties FOR THE UNION",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Bloc of Natalia Vitrenko People's Opposition",0,"Third Force Political Party",0,"Green Party of Ukraine",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Party of Pensioners of Ukraine",0,"The opposition bloc is NOT YES!",0,"Labor Ukraine Political Party","Party of Regions",8
"Belgium","Ukraine",2006-03-26,"Legislative",1203,354,290,8,NA,NA,117,"Block OUR UKRAINE",69,"Yulia Tymoshenko Bloc",35,"Party of Regions",10,"Civil bloc PORA-PRP",10,"Socialist Party of Ukraine",9,"Lytvyn People's Bloc",5,"Ukrainian Green Planet Party",5,"Viche Party",5,"Bloc of Natalia Vitrenko People's Opposition",4,"Ukrainian People's Bloc of Kostenko and Ivy",3,"Party of Patriotic Forces of Ukraine",3,"Green Party of Ukraine",3,"Party of Pensioners of Ukraine",2,"Political Party of Ukraine Putin's Politics Party",2,"Socio-ecological party Union. Chernobyl. Ukraine.",2,"The opposition bloc is NOT YES!",1,"All-Ukrainian Party of People's Trust",1,"Electoral bloc of political parties FOR THE UNION",1,"All-Ukrainian Association Freedom",1,"Social Christian Party",1,"European Capital Political Party",1,"Social Protection Party",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"NDP block",0,"Communist Party of Ukraine",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Peasant Party of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"Liberal Party of Ukraine",0,"Third Force Political Party",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Labor Ukraine Political Party","Party of Regions",35
"Denmark","Ukraine",2006-03-26,"Legislative",571,108,105,3,NA,NA,45,"Block OUR UKRAINE",27,"Yulia Tymoshenko Bloc",15,"Party of Regions",6,"Civil bloc PORA-PRP",3,"Socialist Party of Ukraine",2,"Ukrainian People's Bloc of Kostenko and Ivy",2,"Viche Party",2,"Lytvyn People's Bloc",2,"The opposition bloc is NOT YES!",1,"Green Party of Ukraine",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Communist Party of Ukraine",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Bloc of Natalia Vitrenko People's Opposition",0,"Third Force Political Party",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"Labor Ukraine Political Party","Party of Regions",15
"Morocco","Ukraine",2006-03-26,"Legislative",163,39,37,2,NA,NA,10,"Party of Regions",10,"Yulia Tymoshenko Bloc",9,"Block OUR UKRAINE",4,"Civil bloc PORA-PRP",3,"Ukrainian People's Bloc of Kostenko and Ivy",1,"Bloc of Natalia Vitrenko People's Opposition",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Communist Party of Ukraine",0,"Viche Party",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Socialist Party of Ukraine",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Green Party of Ukraine",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Lytvyn People's Bloc",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"The opposition bloc is NOT YES!",0,"Labor Ukraine Political Party","Party of Regions",10
"Norway","Ukraine",2006-03-26,"Legislative",232,57,56,1,NA,NA,22,"Block OUR UKRAINE",15,"Yulia Tymoshenko Bloc",11,"Party of Regions",3,"Socialist Party of Ukraine",2,"Bloc of Natalia Vitrenko People's Opposition",1,"Communist Party of Ukraine",1,"Viche Party",1,"Civil bloc PORA-PRP",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian People's Bloc of Kostenko and Ivy",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Green Party of Ukraine",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Lytvyn People's Bloc",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"The opposition bloc is NOT YES!",0,"Labor Ukraine Political Party","Party of Regions",11
"Saudi Arabia","Ukraine",2006-03-26,"Legislative",131,33,32,1,NA,NA,12,"Party of Regions",8,"Yulia Tymoshenko Bloc",3,"Block OUR UKRAINE",2,"The opposition bloc is NOT YES!",1,"Viche Party",1,"Ukrainian Conservative Party",1,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",1,"Party of Patriotic Forces of Ukraine",1,"Socialist Party of Ukraine",1,"Bloc of Natalia Vitrenko People's Opposition",1,"Lytvyn People's Bloc",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian People's Bloc of Kostenko and Ivy",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Communist Party of Ukraine",0,"People's Movement of Ukraine for Unity",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Civil bloc PORA-PRP",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Green Party of Ukraine",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"Labor Ukraine Political Party","Party of Regions",12
"Spain","Ukraine",2006-03-26,"Legislative",13031,1471,1455,13,NA,NA,829,"Block OUR UKRAINE",346,"Yulia Tymoshenko Bloc",63,"Party of Regions",62,"Civil bloc PORA-PRP",48,"Socialist Party of Ukraine",28,"Ukrainian People's Bloc of Kostenko and Ivy",13,"Lytvyn People's Bloc",12,"All-Ukrainian Association Freedom",5,"People's Movement of Ukraine for Unity",5,"Peasant Party of Ukraine",5,"Bloc of Natalia Vitrenko People's Opposition",4,"Green Party of Ukraine",4,"The opposition bloc is NOT YES!",3,"Political party Party of ecological rescue ECO + 25%",3,"Ukrainian Green Planet Party",3,"Viche Party",3,"Yuri Karmazin's block",3,"Electoral bloc People's Power",2,"Ukrainian Conservative Party",2,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",2,"European Capital Political Party",2,"Bloc of Boris Oliynyk and Mykhailo Syrota",1,"Ukrainian National Assembly",1,"Political Party of Ukraine Putin's Politics Party",1,"Communist Party of Ukraine",1,"Party of Patriotic Forces of Ukraine",1,"Electoral bloc Yevhen Marchuk - Unity",1,"Social Protection Party",1,"Lazarenko Bloc",1,"Party of Pensioners of Ukraine",0,"All-Ukrainian Party of People's Trust",0,"NDP block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"Third Force Political Party",0,"Bloc Patriots of Ukraine",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Labor Ukraine Political Party","Party of Regions",63
"Sweden","Ukraine",2006-03-26,"Legislative",683,123,112,8,NA,NA,48,"Block OUR UKRAINE",31,"Yulia Tymoshenko Bloc",14,"Party of Regions",4,"Socialist Party of Ukraine",3,"Ukrainian People's Bloc of Kostenko and Ivy",3,"Civil bloc PORA-PRP",3,"All-Ukrainian Association Freedom",2,"Lytvyn People's Bloc",2,"The opposition bloc is NOT YES!",1,"Third Force Political Party",1,"Political party Forward, Ukraine!",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Communist Party of Ukraine",0,"Viche Party",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Bloc of Natalia Vitrenko People's Opposition",0,"Green Party of Ukraine",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"Labor Ukraine Political Party","Party of Regions",14
"Thailand","Ukraine",2006-03-26,"Legislative",48,34,33,0,NA,NA,13,"Block OUR UKRAINE",7,"Yulia Tymoshenko Bloc",4,"Bloc of Natalia Vitrenko People's Opposition",2,"Party of Regions",2,"Lytvyn People's Bloc",1,"All-Ukrainian Party of People's Trust",1,"Ukrainian People's Bloc of Kostenko and Ivy",1,"Ukrainian National Assembly",1,"All-Ukrainian Party New Power",1,"Political party Forward, Ukraine!",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Communist Party of Ukraine",0,"Viche Party",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Civil bloc PORA-PRP",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Socialist Party of Ukraine",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Green Party of Ukraine",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"The opposition bloc is NOT YES!",0,"Labor Ukraine Political Party","Party of Regions",2
