"country_of_residence","cor_iso3","country_of_origin","coo_iso3","election_date","election_type","registered_voters","total_votes","valid_votes","valid_votes2","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","votes_party_30","party_party_30","votes_party_31","party_party_31","votes_party_32","party_party_32","votes_party_33","party_party_33","votes_party_34","party_party_34","votes_party_35","party_party_35","votes_party_36","party_party_36","votes_party_37","party_party_37","votes_party_38","party_party_38","votes_party_39","party_party_39","votes_party_40","party_party_40","votes_party_41","party_party_41","votes_party_42","party_party_42","votes_party_43","party_party_43","votes_party_44","party_party_44","votes_party_45","party_party_45","votes_party_46","party_party_46","votes_party_47","party_party_47","votes_party_48","party_party_48","votes_party_49","party_party_49","votes_party_50","party_party_50","votes_party_51","party_party_51","votes_party_52","party_party_52","votes_party_53","party_party_53","votes_party_54","party_party_54","votes_party_55","party_party_55","national_winner","votes_national_winner","unmarked_votes"
"Belarus","BLR","Bulgaria","BGR",2005-06-25,"Legislative",NA,42,41,41,NA,NA,1,16,"SIMEON II NATIONAL MOVEMENT (NMSS)",12,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",3,"UDF - UDF, DEMOCRATIC PARTY, MOVEMENT  GERGYOVDEN , BZNS NS - BZNS, DROM",2,"ATTACK COALITION",2,"MRF MOVEMENT FOR RIGHTS AND FREEDOMS",1,"FEDERATION OF FREE BUSINESS - UNION BULGARIA",1,"MOVEMENT FORWARD BULGARIA",1,"DEMOCRATS FOR STRONG BULGARIA (DSB)",1,"UNION OF FREE DEMOCRATS, AUA - PEOPLE'S UNION, VMRO - BULGARIAN NATIONAL MOVEMENT - COALITION  BULGARIAN PEOPLE'S UNION",1,"THE NEW TIME",1,"UNITED PARTY OF PENSIONERS IN BULGARIA (OPPB)",0,"GRANITE",0,"CHAMBER OF EXPERTS",0,"COALITION  DIGNIFIED BULGARIA",0,"NK  LONG LIVE BULGARIA!",0,"PD  EUROROMA",0,"ROSE COALITION (BSD, NDP and OBT PARTIES)",0,"FAGO",0,"BULGARIAN CHRISTIAN COALITION (BHC)",0,"NZP  NIKOLA PETKOV",0,"FREE DEMOCRATS PARTY - PSD",0,"HOMELAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",12,NA
"Belgium","BEL","Bulgaria","BGR",2005-06-25,"Legislative",NA,755,749,749,NA,NA,6,314,"SIMEON II NATIONAL MOVEMENT (NMSS)",153,"DEMOCRATS FOR STRONG BULGARIA (DSB)",95,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",65,"UDF - UDF, DEMOCRATIC PARTY, MOVEMENT  GERGYOVDEN , BZNS NS - BZNS, DROM",37,"ATTACK COALITION",22,"UNION OF FREE DEMOCRATS, AUA - PEOPLE'S UNION, VMRO - BULGARIAN NATIONAL MOVEMENT - COALITION  BULGARIAN PEOPLE'S UNION",22,"MRF MOVEMENT FOR RIGHTS AND FREEDOMS",16,"THE NEW TIME",6,"ROSE COALITION (BSD, NDP and OBT PARTIES)",5,"NK  LONG LIVE BULGARIA!",5,"BULGARIAN CHRISTIAN COALITION (BHC)",3,"FREE DEMOCRATS PARTY - PSD",2,"MOVEMENT FORWARD BULGARIA",2,"PD  EUROROMA",1,"FAGO",1,"UNITED PARTY OF PENSIONERS IN BULGARIA (OPPB)",0,"FEDERATION OF FREE BUSINESS - UNION BULGARIA",0,"GRANITE",0,"CHAMBER OF EXPERTS",0,"COALITION  DIGNIFIED BULGARIA",0,"NZP  NIKOLA PETKOV",0,"HOMELAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",95,NA
"Bosnia","BIH","Bulgaria","BGR",2005-06-25,"Legislative",NA,133,132,132,NA,NA,1,65,"SIMEON II NATIONAL MOVEMENT (NMSS)",23,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",18,"UDF - UDF, DEMOCRATIC PARTY, MOVEMENT  GERGYOVDEN , BZNS NS - BZNS, DROM",10,"DEMOCRATS FOR STRONG BULGARIA (DSB)",5,"THE NEW TIME",3,"ATTACK COALITION",3,"MRF MOVEMENT FOR RIGHTS AND FREEDOMS",2,"UNION OF FREE DEMOCRATS, AUA - PEOPLE'S UNION, VMRO - BULGARIAN NATIONAL MOVEMENT - COALITION  BULGARIAN PEOPLE'S UNION",1,"FEDERATION OF FREE BUSINESS - UNION BULGARIA",1,"ROSE COALITION (BSD, NDP and OBT PARTIES)",1,"BULGARIAN CHRISTIAN COALITION (BHC)",0,"MOVEMENT FORWARD BULGARIA",0,"GRANITE",0,"CHAMBER OF EXPERTS",0,"COALITION  DIGNIFIED BULGARIA",0,"NK  LONG LIVE BULGARIA!",0,"PD  EUROROMA",0,"FAGO",0,"UNITED PARTY OF PENSIONERS IN BULGARIA (OPPB)",0,"NZP  NIKOLA PETKOV",0,"FREE DEMOCRATS PARTY - PSD",0,"HOMELAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",23,NA
"Canada","CAN","Bulgaria","BGR",2005-06-25,"Legislative",NA,732,729,729,NA,NA,3,234,"SIMEON II NATIONAL MOVEMENT (NMSS)",197,"DEMOCRATS FOR STRONG BULGARIA (DSB)",102,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",82,"UDF - UDF, DEMOCRATIC PARTY, MOVEMENT  GERGYOVDEN , BZNS NS - BZNS, DROM",58,"ATTACK COALITION",31,"UNION OF FREE DEMOCRATS, AUA - PEOPLE'S UNION, VMRO - BULGARIAN NATIONAL MOVEMENT - COALITION  BULGARIAN PEOPLE'S UNION",8,"THE NEW TIME",5,"ROSE COALITION (BSD, NDP and OBT PARTIES)",3,"MRF MOVEMENT FOR RIGHTS AND FREEDOMS",2,"COALITION  DIGNIFIED BULGARIA",2,"NK  LONG LIVE BULGARIA!",2,"UNITED PARTY OF PENSIONERS IN BULGARIA (OPPB)",1,"MOVEMENT FORWARD BULGARIA",1,"CHAMBER OF EXPERTS",1,"BULGARIAN CHRISTIAN COALITION (BHC)",0,"FEDERATION OF FREE BUSINESS - UNION BULGARIA",0,"GRANITE",0,"PD  EUROROMA",0,"FAGO",0,"NZP  NIKOLA PETKOV",0,"FREE DEMOCRATS PARTY - PSD",0,"HOMELAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",102,NA
"Chile","CHL","Bulgaria","BGR",2005-06-25,"Legislative",NA,30,30,30,NA,NA,0,12,"SIMEON II NATIONAL MOVEMENT (NMSS)",7,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",5,"DEMOCRATS FOR STRONG BULGARIA (DSB)",5,"UDF - UDF, DEMOCRATIC PARTY, MOVEMENT  GERGYOVDEN , BZNS NS - BZNS, DROM",1,"ATTACK COALITION",0,"FEDERATION OF FREE BUSINESS - UNION BULGARIA",0,"MOVEMENT FORWARD BULGARIA",0,"GRANITE",0,"CHAMBER OF EXPERTS",0,"COALITION  DIGNIFIED BULGARIA",0,"NK  LONG LIVE BULGARIA!",0,"PD  EUROROMA",0,"ROSE COALITION (BSD, NDP and OBT PARTIES)",0,"UNION OF FREE DEMOCRATS, AUA - PEOPLE'S UNION, VMRO - BULGARIAN NATIONAL MOVEMENT - COALITION  BULGARIAN PEOPLE'S UNION",0,"THE NEW TIME",0,"FAGO",0,"UNITED PARTY OF PENSIONERS IN BULGARIA (OPPB)",0,"MRF MOVEMENT FOR RIGHTS AND FREEDOMS",0,"BULGARIAN CHRISTIAN COALITION (BHC)",0,"NZP  NIKOLA PETKOV",0,"FREE DEMOCRATS PARTY - PSD",0,"HOMELAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",7,NA
"China","CHN","Bulgaria","BGR",2005-06-25,"Legislative",NA,58,55,55,NA,NA,3,20,"SIMEON II NATIONAL MOVEMENT (NMSS)",17,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",6,"UDF - UDF, DEMOCRATIC PARTY, MOVEMENT  GERGYOVDEN , BZNS NS - BZNS, DROM",5,"DEMOCRATS FOR STRONG BULGARIA (DSB)",5,"ATTACK COALITION",1,"CHAMBER OF EXPERTS",1,"BULGARIAN CHRISTIAN COALITION (BHC)",0,"FEDERATION OF FREE BUSINESS - UNION BULGARIA",0,"MOVEMENT FORWARD BULGARIA",0,"GRANITE",0,"COALITION  DIGNIFIED BULGARIA",0,"NK  LONG LIVE BULGARIA!",0,"PD  EUROROMA",0,"ROSE COALITION (BSD, NDP and OBT PARTIES)",0,"UNION OF FREE DEMOCRATS, AUA - PEOPLE'S UNION, VMRO - BULGARIAN NATIONAL MOVEMENT - COALITION  BULGARIAN PEOPLE'S UNION",0,"THE NEW TIME",0,"FAGO",0,"UNITED PARTY OF PENSIONERS IN BULGARIA (OPPB)",0,"MRF MOVEMENT FOR RIGHTS AND FREEDOMS",0,"NZP  NIKOLA PETKOV",0,"FREE DEMOCRATS PARTY - PSD",0,"HOMELAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",17,NA
"Croatia","HRV","Bulgaria","BGR",2005-06-25,"Legislative",NA,71,71,71,NA,NA,0,28,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",19,"SIMEON II NATIONAL MOVEMENT (NMSS)",8,"UDF - UDF, DEMOCRATIC PARTY, MOVEMENT  GERGYOVDEN , BZNS NS - BZNS, DROM",5,"DEMOCRATS FOR STRONG BULGARIA (DSB)",3,"UNION OF FREE DEMOCRATS, AUA - PEOPLE'S UNION, VMRO - BULGARIAN NATIONAL MOVEMENT - COALITION  BULGARIAN PEOPLE'S UNION",3,"ATTACK COALITION",3,"MRF MOVEMENT FOR RIGHTS AND FREEDOMS",1,"MOVEMENT FORWARD BULGARIA",1,"THE NEW TIME",0,"FEDERATION OF FREE BUSINESS - UNION BULGARIA",0,"GRANITE",0,"CHAMBER OF EXPERTS",0,"COALITION  DIGNIFIED BULGARIA",0,"NK  LONG LIVE BULGARIA!",0,"PD  EUROROMA",0,"ROSE COALITION (BSD, NDP and OBT PARTIES)",0,"FAGO",0,"UNITED PARTY OF PENSIONERS IN BULGARIA (OPPB)",0,"BULGARIAN CHRISTIAN COALITION (BHC)",0,"NZP  NIKOLA PETKOV",0,"FREE DEMOCRATS PARTY - PSD",0,"HOMELAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",28,NA
"Cyprus","CYP","Bulgaria","BGR",2005-06-25,"Legislative",NA,481,481,481,NA,NA,0,206,"SIMEON II NATIONAL MOVEMENT (NMSS)",120,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",34,"ATTACK COALITION",32,"UDF - UDF, DEMOCRATIC PARTY, MOVEMENT  GERGYOVDEN , BZNS NS - BZNS, DROM",30,"UNION OF FREE DEMOCRATS, AUA - PEOPLE'S UNION, VMRO - BULGARIAN NATIONAL MOVEMENT - COALITION  BULGARIAN PEOPLE'S UNION",29,"DEMOCRATS FOR STRONG BULGARIA (DSB)",12,"THE NEW TIME",5,"NK  LONG LIVE BULGARIA!",2,"FEDERATION OF FREE BUSINESS - UNION BULGARIA",2,"MOVEMENT FORWARD BULGARIA",2,"FREE DEMOCRATS PARTY - PSD",1,"GRANITE",1,"COALITION  DIGNIFIED BULGARIA",1,"ROSE COALITION (BSD, NDP and OBT PARTIES)",1,"FAGO",1,"UNITED PARTY OF PENSIONERS IN BULGARIA (OPPB)",1,"MRF MOVEMENT FOR RIGHTS AND FREEDOMS",1,"NZP  NIKOLA PETKOV",0,"CHAMBER OF EXPERTS",0,"PD  EUROROMA",0,"BULGARIAN CHRISTIAN COALITION (BHC)",0,"HOMELAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",120,NA
"Czechia","CZE","Bulgaria","BGR",2005-06-25,"Legislative",NA,474,471,471,NA,NA,5,193,"SIMEON II NATIONAL MOVEMENT (NMSS)",75,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",71,"DEMOCRATS FOR STRONG BULGARIA (DSB)",56,"UDF - UDF, DEMOCRATIC PARTY, MOVEMENT  GERGYOVDEN , BZNS NS - BZNS, DROM",25,"ATTACK COALITION",14,"THE NEW TIME",10,"UNION OF FREE DEMOCRATS, AUA - PEOPLE'S UNION, VMRO - BULGARIAN NATIONAL MOVEMENT - COALITION  BULGARIAN PEOPLE'S UNION",5,"MRF MOVEMENT FOR RIGHTS AND FREEDOMS",4,"ROSE COALITION (BSD, NDP and OBT PARTIES)",4,"BULGARIAN CHRISTIAN COALITION (BHC)",3,"MOVEMENT FORWARD BULGARIA",2,"CHAMBER OF EXPERTS",2,"UNITED PARTY OF PENSIONERS IN BULGARIA (OPPB)",1,"FEDERATION OF FREE BUSINESS - UNION BULGARIA",1,"GRANITE",1,"COALITION  DIGNIFIED BULGARIA",1,"NK  LONG LIVE BULGARIA!",1,"PD  EUROROMA",1,"NZP  NIKOLA PETKOV",1,"HOMELAND",0,"FAGO",0,"FREE DEMOCRATS PARTY - PSD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",75,NA
"Denmark","DNK","Bulgaria","BGR",2005-06-25,"Legislative",NA,130,129,129,NA,NA,1,57,"SIMEON II NATIONAL MOVEMENT (NMSS)",34,"DEMOCRATS FOR STRONG BULGARIA (DSB)",13,"UDF - UDF, DEMOCRATIC PARTY, MOVEMENT  GERGYOVDEN , BZNS NS - BZNS, DROM",11,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",6,"UNION OF FREE DEMOCRATS, AUA - PEOPLE'S UNION, VMRO - BULGARIAN NATIONAL MOVEMENT - COALITION  BULGARIAN PEOPLE'S UNION",3,"ATTACK COALITION",2,"MRF MOVEMENT FOR RIGHTS AND FREEDOMS",1,"THE NEW TIME",1,"UNITED PARTY OF PENSIONERS IN BULGARIA (OPPB)",1,"BULGARIAN CHRISTIAN COALITION (BHC)",0,"FEDERATION OF FREE BUSINESS - UNION BULGARIA",0,"MOVEMENT FORWARD BULGARIA",0,"GRANITE",0,"CHAMBER OF EXPERTS",0,"COALITION  DIGNIFIED BULGARIA",0,"NK  LONG LIVE BULGARIA!",0,"PD  EUROROMA",0,"ROSE COALITION (BSD, NDP and OBT PARTIES)",0,"FAGO",0,"NZP  NIKOLA PETKOV",0,"FREE DEMOCRATS PARTY - PSD",0,"HOMELAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",11,NA
"Egypt","EGY","Bulgaria","BGR",2005-06-25,"Legislative",NA,51,50,50,NA,NA,1,19,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",14,"SIMEON II NATIONAL MOVEMENT (NMSS)",8,"UDF - UDF, DEMOCRATIC PARTY, MOVEMENT  GERGYOVDEN , BZNS NS - BZNS, DROM",5,"DEMOCRATS FOR STRONG BULGARIA (DSB)",1,"MOVEMENT FORWARD BULGARIA",1,"COALITION  DIGNIFIED BULGARIA",1,"THE NEW TIME",1,"ATTACK COALITION",0,"FEDERATION OF FREE BUSINESS - UNION BULGARIA",0,"GRANITE",0,"CHAMBER OF EXPERTS",0,"NK  LONG LIVE BULGARIA!",0,"PD  EUROROMA",0,"ROSE COALITION (BSD, NDP and OBT PARTIES)",0,"UNION OF FREE DEMOCRATS, AUA - PEOPLE'S UNION, VMRO - BULGARIAN NATIONAL MOVEMENT - COALITION  BULGARIAN PEOPLE'S UNION",0,"FAGO",0,"UNITED PARTY OF PENSIONERS IN BULGARIA (OPPB)",0,"MRF MOVEMENT FOR RIGHTS AND FREEDOMS",0,"BULGARIAN CHRISTIAN COALITION (BHC)",0,"NZP  NIKOLA PETKOV",0,"FREE DEMOCRATS PARTY - PSD",0,"HOMELAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",19,NA
"Finland","FIN","Bulgaria","BGR",2005-06-25,"Legislative",NA,53,53,53,NA,NA,0,24,"SIMEON II NATIONAL MOVEMENT (NMSS)",7,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",7,"ATTACK COALITION",5,"DEMOCRATS FOR STRONG BULGARIA (DSB)",4,"MRF MOVEMENT FOR RIGHTS AND FREEDOMS",3,"UDF - UDF, DEMOCRATIC PARTY, MOVEMENT  GERGYOVDEN , BZNS NS - BZNS, DROM",1,"UNION OF FREE DEMOCRATS, AUA - PEOPLE'S UNION, VMRO - BULGARIAN NATIONAL MOVEMENT - COALITION  BULGARIAN PEOPLE'S UNION",1,"THE NEW TIME",1,"BULGARIAN CHRISTIAN COALITION (BHC)",0,"FEDERATION OF FREE BUSINESS - UNION BULGARIA",0,"MOVEMENT FORWARD BULGARIA",0,"GRANITE",0,"CHAMBER OF EXPERTS",0,"COALITION  DIGNIFIED BULGARIA",0,"NK  LONG LIVE BULGARIA!",0,"PD  EUROROMA",0,"ROSE COALITION (BSD, NDP and OBT PARTIES)",0,"FAGO",0,"UNITED PARTY OF PENSIONERS IN BULGARIA (OPPB)",0,"NZP  NIKOLA PETKOV",0,"FREE DEMOCRATS PARTY - PSD",0,"HOMELAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",7,NA
"France","FRA","Bulgaria","BGR",2005-06-25,"Legislative",NA,1427,1417,1417,NA,NA,10,487,"SIMEON II NATIONAL MOVEMENT (NMSS)",326,"DEMOCRATS FOR STRONG BULGARIA (DSB)",235,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",173,"UDF - UDF, DEMOCRATIC PARTY, MOVEMENT  GERGYOVDEN , BZNS NS - BZNS, DROM",55,"UNION OF FREE DEMOCRATS, AUA - PEOPLE'S UNION, VMRO - BULGARIAN NATIONAL MOVEMENT - COALITION  BULGARIAN PEOPLE'S UNION",36,"ATTACK COALITION",31,"THE NEW TIME",28,"MRF MOVEMENT FOR RIGHTS AND FREEDOMS",11,"ROSE COALITION (BSD, NDP and OBT PARTIES)",6,"BULGARIAN CHRISTIAN COALITION (BHC)",4,"FEDERATION OF FREE BUSINESS - UNION BULGARIA",4,"MOVEMENT FORWARD BULGARIA",4,"FREE DEMOCRATS PARTY - PSD",4,"HOMELAND",3,"NK  LONG LIVE BULGARIA!",3,"UNITED PARTY OF PENSIONERS IN BULGARIA (OPPB)",2,"GRANITE",2,"PD  EUROROMA",2,"FAGO",1,"COALITION  DIGNIFIED BULGARIA",0,"CHAMBER OF EXPERTS",0,"NZP  NIKOLA PETKOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COALITION FOR BULGARIA - BSP, PBS, PD - SOCIAL DEMOCRATS, DSH, P. ROMA , KPB, BZNS - AL. STAMBOLIYSKI, ZPB",235,NA
